matrix,n,nnz,factor_ll_ms,factor_csc_ms,factor_csc_sn_ms,solve_ll_ms,solve_csc_ms,solve_csc_sn_ms,speedup_csc,speedup_csc_sn,res_ll,res_csc,res_csc_sn
tridiag-20,20,58,0.007,0.013,0.014,0.001,0.001,0.001,0.54,0.51,2.96e-16,2.96e-16,2.96e-16
tridiag-40,40,118,0.017,0.028,0.031,0.001,0.001,0.001,0.59,0.53,2.96e-16,2.96e-16,2.96e-16
tridiag-60,60,178,0.029,0.042,0.040,0.003,0.001,0.001,0.69,0.73,2.96e-16,2.96e-16,2.96e-16
tridiag-80,80,238,0.036,0.064,0.069,0.002,0.002,0.002,0.56,0.52,2.96e-16,2.96e-16,2.96e-16
banded-20,20,160,0.019,0.026,0.023,0.001,0.001,0.001,0.72,0.81,4.08e-16,4.08e-16,4.08e-16
banded-40,40,340,0.032,0.043,0.043,0.001,0.001,0.001,0.75,0.75,4.08e-16,4.08e-16,4.08e-16
banded-60,60,520,0.054,0.081,0.086,0.002,0.002,0.003,0.67,0.63,6.13e-16,6.13e-16,6.13e-16
banded-80,80,700,0.073,0.099,0.113,0.002,0.002,0.002,0.74,0.65,4.07e-16,5.09e-16,5.09e-16
dense-20,20,400,0.067,0.066,0.059,0.001,0.001,0.001,1.01,1.14,3.29e-16,6.58e-16,6.58e-16
dense-60,60,3600,1.402,1.287,1.568,0.014,0.006,0.007,1.09,0.89,6.53e-16,1.20e-15,1.20e-15
