# nd_base_threshold=32, factor=no
matrix,n,reorder,nnz_L,reorder_ms,factor_ms
nos4,100,NONE,805,0.0,skip
nos4,100,RCM,888,0.1,skip
nos4,100,AMD,637,0.2,skip
nos4,100,COLAMD,778,0.5,skip
nos4,100,ND,1091,112.1,skip
bcsstk04,132,NONE,3763,0.0,skip
bcsstk04,132,RCM,3633,1.0,skip
bcsstk04,132,AMD,3143,1.3,skip
bcsstk04,132,COLAMD,3622,3.7,skip
bcsstk04,132,ND,3683,485.0,skip
Kuu,7102,NONE,2993061,0.0,skip
Kuu,7102,RCM,1024794,65.6,skip
Kuu,7102,AMD,406264,971.8,skip
Kuu,7102,COLAMD,830665,4177.6,skip
Kuu,7102,ND,943463,16817.4,skip
bcsstk14,1806,NONE,190791,0.0,skip
bcsstk14,1806,RCM,178311,11.6,skip
bcsstk14,1806,AMD,116071,83.1,skip
bcsstk14,1806,COLAMD,146037,172.1,skip
bcsstk14,1806,ND,140024,3515.3,skip
s3rmt3m3,5357,NONE,2208972,0.0,skip
s3rmt3m3,5357,RCM,636993,33.2,skip
s3rmt3m3,5357,AMD,474609,624.3,skip
s3rmt3m3,5357,COLAMD,607647,1152.0,skip
s3rmt3m3,5357,ND,481904,10301.5,skip
Pres_Poisson,14822,NONE,5061932,0.0,skip
Pres_Poisson,14822,RCM,3187081,151.0,skip
Pres_Poisson,14822,AMD,2668793,7806.2,skip
Pres_Poisson,14822,COLAMD,3415793,15633.2,skip
Pres_Poisson,14822,ND,2837046,41012.9,skip
