matrix,n,impl,reorder_ms,peak_rss_mb,nnz_L
nos4,100,qg,1.3,0.08,637
nos4,100,bitset,0.2,0.01,637
bcsstk04,132,qg,14.6,0.32,3143
bcsstk04,132,bitset,1.1,0.03,3143
bcsstk14,1806,qg,4715.4,3.31,116071
bcsstk14,1806,bitset,81.6,0.01,116071
Kuu,7102,qg,25720.6,13.39,406264
Kuu,7102,bitset,885.5,1.04,406264
s3rmt3m3,5357,qg,51321.1,1.25,474609
s3rmt3m3,5357,bitset,658.7,0.06,474609
Pres_Poisson,14822,qg,758926.8,25.09,2668793
Pres_Poisson,14822,bitset,5692.4,16.08,2668793
banded_5000,5000,qg,124.7,0.00,29985
banded_5000,5000,bitset,224.8,0.00,29985
banded_10000,10000,qg,417.4,0.00,59985
banded_10000,10000,bitset,940.5,0.00,59985
banded_20000,20000,qg,1573.4,0.00,119985
banded_20000,20000,bitset,4597.9,24.88,119985
