# bitset=yes
matrix,n,impl,reorder_ms,peak_rss_mb,nnz_L
nos4,100,qg,0.2,0.04,637
nos4,100,bitset,0.2,0.00,637
bcsstk04,132,qg,1.5,0.11,3143
bcsstk04,132,bitset,0.8,0.00,3143
bcsstk14,1806,qg,106.9,2.33,116071
bcsstk14,1806,bitset,58.2,0.01,116071
Kuu,7102,qg,437.2,10.62,406264
Kuu,7102,bitset,614.3,0.05,406264
s3rmt3m3,5357,qg,594.2,1.07,474609
s3rmt3m3,5357,bitset,440.7,0.00,474609
Pres_Poisson,14822,qg,6590.8,19.14,2668793
Pres_Poisson,14822,bitset,4993.4,16.08,2668793
banded_5000,5000,qg,31.0,0.00,29985
banded_5000,5000,bitset,200.8,0.00,29985
banded_10000,10000,qg,114.1,0.00,59985
banded_10000,10000,bitset,817.0,0.00,59985
banded_20000,20000,qg,425.6,0.00,119985
banded_20000,20000,bitset,3895.8,24.96,119985
