fixture         ratio    nnz_nd       nnz_amd      reorder_ms_nd
nos4            100      968          637          90.5        
nos4            200      968          637          92.0        
nos4            400      968          637          93.0        
nos4            800      968          637          89.3        
nos4            100000   968          637          89.9        
bcsstk14        100      131017       116071       4915.8      
bcsstk14        200      131017       116071       4872.3      
bcsstk14        400      131017       116071       4868.2      
bcsstk14        800      131017       116071       4904.6      
bcsstk14        100000   131017       116071       4941.9      
Kuu             100      924385       406264       10778.8     
Kuu             200      908832       406264       15965.7     
Kuu             400      908832       406264       16057.2     
Kuu             800      908832       406264       16063.6     
Kuu             100000   908832       406264       15994.7     
Pres_Poisson    100      2541734      2668793      35511.1     
Pres_Poisson    200      2514769      2668793      25923.9     
Pres_Poisson    400      2641961      2668793      35000.7     
Pres_Poisson    800      2641961      2668793      33493.8     
Pres_Poisson    100000   2641961      2668793      34670.7     
