setting_id,setting_name,fixture,n,reorder,nnz_L,reorder_ms,factor_ms
01baseline,baseline (Sprint 26 Day 5 t=96 default) ,nos4,100,ND,809,39.8,skip
01baseline,baseline (Sprint 26 Day 5 t=96 default) ,bcsstk04,132,ND,3722,115.2,skip
01baseline,baseline (Sprint 26 Day 5 t=96 default) ,Kuu,7102,ND,881177,4587.8,skip
01baseline,baseline (Sprint 26 Day 5 t=96 default) ,bcsstk14,1806,ND,129292,790.2,skip
01baseline,baseline (Sprint 26 Day 5 t=96 default) ,s3rmt3m3,5357,ND,483195,2596.6,skip
01baseline,baseline (Sprint 26 Day 5 t=96 default) ,Pres_Poisson,14822,ND,2536427,11001.9,skip
02setting,setting 13 (HCC + ratio=200) — Pres_Poisson best ,nos4,100,ND,887,134.9,skip
02setting,setting 13 (HCC + ratio=200) — Pres_Poisson best ,bcsstk04,132,ND,3717,306.3,skip
02setting,setting 13 (HCC + ratio=200) — Pres_Poisson best ,Kuu,7102,ND,796898,5939.9,skip
02setting,setting 13 (HCC + ratio=200) — Pres_Poisson best ,bcsstk14,1806,ND,125032,979.4,skip
02setting,setting 13 (HCC + ratio=200) — Pres_Poisson best ,s3rmt3m3,5357,ND,482669,4661.9,skip
02setting,setting 13 (HCC + ratio=200) — Pres_Poisson best ,Pres_Poisson,14822,ND,2459934,8958.9,skip
03setting,setting 15-ish (HCC + ratio=200 + spectral + balanced_boundary) ,nos4,100,ND,762,0.8,skip
03setting,setting 15-ish (HCC + ratio=200 + spectral + balanced_boundary) ,bcsstk04,132,ND,3717,3.6,skip
03setting,setting 15-ish (HCC + ratio=200 + spectral + balanced_boundary) ,Kuu,7102,ND,623413,630.3,skip
03setting,setting 15-ish (HCC + ratio=200 + spectral + balanced_boundary) ,bcsstk14,1806,ND,124059,140.7,skip
03setting,setting 15-ish (HCC + ratio=200 + spectral + balanced_boundary) ,s3rmt3m3,5357,ND,477859,409.5,skip
03setting,setting 15-ish (HCC + ratio=200 + spectral + balanced_boundary) ,Pres_Poisson,14822,ND,2552546,1662.0,skip
04balanced_boundary,balanced_boundary alone ,nos4,100,ND,748,55.9,skip
