=== 01: baseline (Sprint 26 Day 5 t=96 default) ===
# nd_base_threshold=96, factor=no
matrix,n,reorder,nnz_L,reorder_ms,factor_ms
nos4,100,NONE,805,0.0,skip
nos4,100,RCM,888,0.1,skip
nos4,100,AMD,637,0.2,skip
nos4,100,COLAMD,778,0.2,skip
nos4,100,ND,809,39.8,skip
bcsstk04,132,NONE,3763,0.0,skip
bcsstk04,132,RCM,3633,0.5,skip
bcsstk04,132,AMD,3143,1.2,skip
bcsstk04,132,COLAMD,3622,2.0,skip
bcsstk04,132,ND,3722,115.2,skip
Kuu,7102,NONE,2993061,0.0,skip
Kuu,7102,RCM,1024794,39.8,skip
Kuu,7102,AMD,406264,301.6,skip
Kuu,7102,COLAMD,830665,2689.7,skip
Kuu,7102,ND,881177,4587.8,skip
bcsstk14,1806,NONE,190791,0.0,skip
bcsstk14,1806,RCM,178311,8.9,skip
bcsstk14,1806,AMD,116071,74.6,skip
bcsstk14,1806,COLAMD,146037,126.1,skip
bcsstk14,1806,ND,129292,790.2,skip
s3rmt3m3,5357,NONE,2208972,0.0,skip
s3rmt3m3,5357,RCM,636993,23.8,skip
s3rmt3m3,5357,AMD,474609,439.3,skip
s3rmt3m3,5357,COLAMD,607647,827.7,skip
s3rmt3m3,5357,ND,483195,2596.6,skip
Pres_Poisson,14822,NONE,5061932,0.0,skip
Pres_Poisson,14822,RCM,3187081,111.1,skip
Pres_Poisson,14822,AMD,2668793,5218.3,skip
Pres_Poisson,14822,COLAMD,3415793,11698.6,skip
Pres_Poisson,14822,ND,2536427,11001.9,skip

=== 02: setting 13 (HCC + ratio=200) — Pres_Poisson best ===
# nd_base_threshold=96, factor=no
matrix,n,reorder,nnz_L,reorder_ms,factor_ms
nos4,100,NONE,805,0.0,skip
nos4,100,RCM,888,0.1,skip
nos4,100,AMD,637,0.2,skip
nos4,100,COLAMD,778,0.3,skip
nos4,100,ND,887,134.9,skip
bcsstk04,132,NONE,3763,0.0,skip
bcsstk04,132,RCM,3633,0.7,skip
bcsstk04,132,AMD,3143,1.6,skip
bcsstk04,132,COLAMD,3622,3.0,skip
bcsstk04,132,ND,3717,306.3,skip
Kuu,7102,NONE,2993061,0.0,skip
Kuu,7102,RCM,1024794,57.0,skip
Kuu,7102,AMD,406264,427.3,skip
Kuu,7102,COLAMD,830665,3852.4,skip
Kuu,7102,ND,796898,5939.9,skip
bcsstk14,1806,NONE,190791,0.0,skip
bcsstk14,1806,RCM,178311,11.7,skip
bcsstk14,1806,AMD,116071,124.7,skip
bcsstk14,1806,COLAMD,146037,211.0,skip
bcsstk14,1806,ND,125032,979.4,skip
s3rmt3m3,5357,NONE,2208972,0.0,skip
s3rmt3m3,5357,RCM,636993,35.1,skip
s3rmt3m3,5357,AMD,474609,697.3,skip
s3rmt3m3,5357,COLAMD,607647,1373.3,skip
s3rmt3m3,5357,ND,482669,4661.9,skip
Pres_Poisson,14822,NONE,5061932,0.0,skip
Pres_Poisson,14822,RCM,3187081,160.4,skip
Pres_Poisson,14822,AMD,2668793,6863.2,skip
Pres_Poisson,14822,COLAMD,3415793,13200.7,skip
Pres_Poisson,14822,ND,2459934,8958.9,skip

=== 03: setting 15-ish (HCC + ratio=200 + spectral + balanced_boundary) ===
# nd_base_threshold=96, factor=no
matrix,n,reorder,nnz_L,reorder_ms,factor_ms
nos4,100,NONE,805,0.0,skip
nos4,100,RCM,888,0.1,skip
nos4,100,AMD,637,0.2,skip
nos4,100,COLAMD,778,0.3,skip
nos4,100,ND,762,0.8,skip
bcsstk04,132,NONE,3763,0.0,skip
bcsstk04,132,RCM,3633,0.7,skip
bcsstk04,132,AMD,3143,1.9,skip
bcsstk04,132,COLAMD,3622,2.8,skip
bcsstk04,132,ND,3717,3.6,skip
Kuu,7102,NONE,2993061,0.0,skip
Kuu,7102,RCM,1024794,59.0,skip
Kuu,7102,AMD,406264,427.7,skip
Kuu,7102,COLAMD,830665,3718.0,skip
Kuu,7102,ND,623413,630.3,skip
bcsstk14,1806,NONE,190791,0.0,skip
bcsstk14,1806,RCM,178311,10.9,skip
bcsstk14,1806,AMD,116071,96.2,skip
bcsstk14,1806,COLAMD,146037,165.7,skip
bcsstk14,1806,ND,124059,140.7,skip
s3rmt3m3,5357,NONE,2208972,0.0,skip
s3rmt3m3,5357,RCM,636993,29.9,skip
s3rmt3m3,5357,AMD,474609,571.6,skip
s3rmt3m3,5357,COLAMD,607647,1080.4,skip
s3rmt3m3,5357,ND,477859,409.5,skip
Pres_Poisson,14822,NONE,5061932,0.0,skip
Pres_Poisson,14822,RCM,3187081,139.3,skip
Pres_Poisson,14822,AMD,2668793,6376.1,skip
Pres_Poisson,14822,COLAMD,3415793,13403.5,skip
Pres_Poisson,14822,ND,2552546,1662.0,skip

=== 04: balanced_boundary alone ===
# nd_base_threshold=96, factor=no
matrix,n,reorder,nnz_L,reorder_ms,factor_ms
nos4,100,NONE,805,0.0,skip
nos4,100,RCM,888,0.1,skip
nos4,100,AMD,637,0.2,skip
nos4,100,COLAMD,778,0.3,skip
nos4,100,ND,748,55.9,skip
bcsstk04,132,NONE,3763,0.0,skip
bcsstk04,132,RCM,3633,0.7,skip
bcsstk04,132,AMD,3143,1.6,skip
bcsstk04,132,COLAMD,3622,2.9,skip
bcsstk04,132,ND,3722,159.9,skip
Kuu,7102,NONE,2993061,0.0,skip
Kuu,7102,RCM,1024794,55.0,skip
Kuu,7102,AMD,406264,424.0,skip
Kuu,7102,COLAMD,830665,3660.7,skip
Kuu,7102,ND,527884,3591.5,skip
bcsstk14,1806,NONE,190791,0.0,skip
bcsstk14,1806,RCM,178311,11.2,skip
bcsstk14,1806,AMD,116071,97.4,skip
bcsstk14,1806,COLAMD,146037,164.5,skip
bcsstk14,1806,ND,123909,1009.1,skip
s3rmt3m3,5357,NONE,2208972,0.0,skip
s3rmt3m3,5357,RCM,636993,30.6,skip
s3rmt3m3,5357,AMD,474609,570.4,skip
s3rmt3m3,5357,COLAMD,607647,1071.3,skip
s3rmt3m3,5357,ND,477485,5027.2,skip
Pres_Poisson,14822,NONE,5061932,0.0,skip
Pres_Poisson,14822,RCM,3187081,136.4,skip
Pres_Poisson,14822,AMD,2668793,6344.3,skip
Pres_Poisson,14822,COLAMD,3415793,13198.3,skip
Pres_Poisson,14822,ND,2542064,9990.8,skip

=== 05: per_vertex alone ===
# nd_base_threshold=96, factor=no
matrix,n,reorder,nnz_L,reorder_ms,factor_ms
nos4,100,NONE,805,0.0,skip
nos4,100,RCM,888,0.1,skip
nos4,100,AMD,637,0.2,skip
nos4,100,COLAMD,778,0.3,skip
nos4,100,ND,765,56.3,skip
bcsstk04,132,NONE,3763,0.0,skip
bcsstk04,132,RCM,3633,0.7,skip
bcsstk04,132,AMD,3143,1.9,skip
bcsstk04,132,COLAMD,3622,2.7,skip
bcsstk04,132,ND,3549,157.5,skip
Kuu,7102,NONE,2993061,0.0,skip
Kuu,7102,RCM,1024794,55.7,skip
Kuu,7102,AMD,406264,422.4,skip
Kuu,7102,COLAMD,830665,3845.2,skip
Kuu,7102,ND,691880,4450.0,skip
bcsstk14,1806,NONE,190791,0.0,skip
bcsstk14,1806,RCM,178311,11.0,skip
bcsstk14,1806,AMD,116071,97.1,skip
bcsstk14,1806,COLAMD,146037,163.1,skip
bcsstk14,1806,ND,151049,994.7,skip
s3rmt3m3,5357,NONE,2208972,0.0,skip
s3rmt3m3,5357,RCM,636993,31.8,skip
s3rmt3m3,5357,AMD,474609,573.2,skip
s3rmt3m3,5357,COLAMD,607647,1189.9,skip
s3rmt3m3,5357,ND,614153,2092.1,skip
Pres_Poisson,14822,NONE,5061932,0.0,skip
Pres_Poisson,14822,RCM,3187081,133.8,skip
Pres_Poisson,14822,AMD,2668793,6308.4,skip
Pres_Poisson,14822,COLAMD,3415793,13077.9,skip
Pres_Poisson,14822,ND,3312433,7246.6,skip

=== 06: fifo alone ===
# nd_base_threshold=96, factor=no
matrix,n,reorder,nnz_L,reorder_ms,factor_ms
nos4,100,NONE,805,0.0,skip
nos4,100,RCM,888,0.1,skip
nos4,100,AMD,637,0.2,skip
nos4,100,COLAMD,778,0.3,skip
nos4,100,ND,777,56.6,skip
bcsstk04,132,NONE,3763,0.0,skip
bcsstk04,132,RCM,3633,0.6,skip
bcsstk04,132,AMD,3143,1.6,skip
bcsstk04,132,COLAMD,3622,2.8,skip
bcsstk04,132,ND,3722,160.5,skip
Kuu,7102,NONE,2993061,0.0,skip
Kuu,7102,RCM,1024794,56.0,skip
Kuu,7102,AMD,406264,424.4,skip
Kuu,7102,COLAMD,830665,3655.8,skip
Kuu,7102,ND,825396,6306.4,skip
bcsstk14,1806,NONE,190791,0.0,skip
bcsstk14,1806,RCM,178311,10.8,skip
