matrix,n,reorder,nnz_L,reorder_ms,factor_ms
nos4,100,NONE,805,0.0,skip
nos4,100,RCM,888,0.2,skip
nos4,100,AMD,637,0.2,skip
nos4,100,COLAMD,778,0.4,skip
nos4,100,ND,809,53.8,skip
bcsstk04,132,NONE,3763,0.0,skip
bcsstk04,132,RCM,3633,0.6,skip
bcsstk04,132,AMD,3143,1.8,skip
bcsstk04,132,COLAMD,3622,2.6,skip
bcsstk04,132,ND,3722,151.4,skip
Kuu,7102,NONE,2993061,0.0,skip
Kuu,7102,RCM,1024794,58.1,skip
Kuu,7102,AMD,406264,403.4,skip
Kuu,7102,COLAMD,830665,3609.0,skip
Kuu,7102,ND,881177,6070.7,skip
bcsstk14,1806,NONE,190791,0.0,skip
bcsstk14,1806,RCM,178311,11.1,skip
bcsstk14,1806,AMD,116071,97.6,skip
bcsstk14,1806,COLAMD,146037,166.4,skip
bcsstk14,1806,ND,129292,1053.6,skip
s3rmt3m3,5357,NONE,2208972,0.0,skip
s3rmt3m3,5357,RCM,636993,30.9,skip
s3rmt3m3,5357,AMD,474609,574.9,skip
s3rmt3m3,5357,COLAMD,607647,1113.8,skip
s3rmt3m3,5357,ND,483195,3421.5,skip
Pres_Poisson,14822,NONE,5061932,0.0,skip
Pres_Poisson,14822,RCM,3187081,142.7,skip
Pres_Poisson,14822,AMD,2668793,7008.8,skip
Pres_Poisson,14822,COLAMD,3415793,14191.5,skip
Pres_Poisson,14822,ND,2536427,11586.9,skip
