# nd_base_threshold=32, factor=no
matrix,n,reorder,nnz_L,reorder_ms,factor_ms
nos4,100,NONE,805,0.0,skip
nos4,100,RCM,888,0.1,skip
nos4,100,AMD,637,0.2,skip
nos4,100,COLAMD,778,0.3,skip
nos4,100,ND,901,308.4,skip
bcsstk04,132,NONE,3763,0.0,skip
bcsstk04,132,RCM,3633,0.8,skip
bcsstk04,132,AMD,3143,1.7,skip
bcsstk04,132,COLAMD,3622,2.7,skip
bcsstk04,132,ND,3708,999.1,skip
Kuu,7102,NONE,2993061,0.0,skip
Kuu,7102,RCM,1024794,57.3,skip
Kuu,7102,AMD,406264,433.0,skip
Kuu,7102,COLAMD,830665,3915.2,skip
Kuu,7102,ND,1003293,14936.1,skip
bcsstk14,1806,NONE,190791,0.0,skip
bcsstk14,1806,RCM,178311,11.5,skip
bcsstk14,1806,AMD,116071,102.4,skip
bcsstk14,1806,COLAMD,146037,168.2,skip
bcsstk14,1806,ND,130358,6166.5,skip
s3rmt3m3,5357,NONE,2208972,0.0,skip
s3rmt3m3,5357,RCM,636993,30.9,skip
s3rmt3m3,5357,AMD,474609,586.5,skip
s3rmt3m3,5357,COLAMD,607647,1091.3,skip
s3rmt3m3,5357,ND,483478,12583.8,skip
Pres_Poisson,14822,NONE,5061932,0.0,skip
Pres_Poisson,14822,RCM,3187081,134.9,skip
Pres_Poisson,14822,AMD,2668793,6434.2,skip
Pres_Poisson,14822,COLAMD,3415793,13687.0,skip
Pres_Poisson,14822,ND,2501876,23443.7,skip
