=== 01: baseline (Sprint 26 t=96 default) ===
# nd_base_threshold=96, factor=no
matrix,n,reorder,nnz_L,reorder_ms,factor_ms
nos4,100,NONE,805,0.0,skip
nos4,100,RCM,888,0.2,skip
nos4,100,AMD,637,0.2,skip
nos4,100,COLAMD,778,0.5,skip
nos4,100,ND,809,61.8,skip
bcsstk04,132,NONE,3763,0.0,skip
bcsstk04,132,RCM,3633,0.8,skip
bcsstk04,132,AMD,3143,1.8,skip
bcsstk04,132,COLAMD,3622,2.8,skip
bcsstk04,132,ND,3722,160.0,skip
Kuu,7102,NONE,2993061,0.0,skip
Kuu,7102,RCM,1024794,57.1,skip
Kuu,7102,AMD,406264,551.8,skip
Kuu,7102,COLAMD,830665,3891.0,skip
Kuu,7102,ND,881177,6312.2,skip
bcsstk14,1806,NONE,190791,0.0,skip
bcsstk14,1806,RCM,178311,11.0,skip
bcsstk14,1806,AMD,116071,126.3,skip
bcsstk14,1806,COLAMD,146037,169.6,skip
bcsstk14,1806,ND,129292,1115.1,skip
s3rmt3m3,5357,NONE,2208972,0.0,skip
s3rmt3m3,5357,RCM,636993,38.7,skip
s3rmt3m3,5357,AMD,474609,883.8,skip
s3rmt3m3,5357,COLAMD,607647,1172.8,skip
s3rmt3m3,5357,ND,483195,3396.0,skip
Pres_Poisson,14822,NONE,5061932,0.0,skip
Pres_Poisson,14822,RCM,3187081,143.5,skip
Pres_Poisson,14822,AMD,2668793,9067.4,skip
Pres_Poisson,14822,COLAMD,3415793,13501.6,skip
Pres_Poisson,14822,ND,2536427,11247.7,skip

=== 02: fifo alone ===
# nd_base_threshold=96, factor=no
matrix,n,reorder,nnz_L,reorder_ms,factor_ms
nos4,100,NONE,805,0.0,skip
nos4,100,RCM,888,0.1,skip
nos4,100,AMD,637,0.3,skip
nos4,100,COLAMD,778,0.3,skip
nos4,100,ND,777,57.6,skip
bcsstk04,132,NONE,3763,0.0,skip
bcsstk04,132,RCM,3633,0.6,skip
bcsstk04,132,AMD,3143,2.1,skip
bcsstk04,132,COLAMD,3622,2.9,skip
bcsstk04,132,ND,3722,163.2,skip
Kuu,7102,NONE,2993061,0.0,skip
Kuu,7102,RCM,1024794,58.4,skip
Kuu,7102,AMD,406264,600.9,skip
Kuu,7102,COLAMD,830665,3784.6,skip
Kuu,7102,ND,825396,6490.6,skip
bcsstk14,1806,NONE,190791,0.0,skip
bcsstk14,1806,RCM,178311,12.0,skip
bcsstk14,1806,AMD,116071,143.0,skip
bcsstk14,1806,COLAMD,146037,168.8,skip
bcsstk14,1806,ND,133330,1389.2,skip
s3rmt3m3,5357,NONE,2208972,0.0,skip
s3rmt3m3,5357,RCM,636993,30.0,skip
s3rmt3m3,5357,AMD,474609,771.9,skip
s3rmt3m3,5357,COLAMD,607647,1108.3,skip
s3rmt3m3,5357,ND,483558,3709.9,skip
Pres_Poisson,14822,NONE,5061932,0.0,skip
Pres_Poisson,14822,RCM,3187081,151.0,skip
Pres_Poisson,14822,AMD,2668793,8771.3,skip
Pres_Poisson,14822,COLAMD,3415793,13535.8,skip
Pres_Poisson,14822,ND,2615031,8751.0,skip

=== 03: setting 13 (HCC + ratio=200) ===
# nd_base_threshold=96, factor=no
matrix,n,reorder,nnz_L,reorder_ms,factor_ms
nos4,100,NONE,805,0.0,skip
nos4,100,RCM,888,0.1,skip
nos4,100,AMD,637,0.2,skip
nos4,100,COLAMD,778,0.3,skip
nos4,100,ND,887,143.8,skip
bcsstk04,132,NONE,3763,0.0,skip
bcsstk04,132,RCM,3633,0.7,skip
bcsstk04,132,AMD,3143,2.0,skip
bcsstk04,132,COLAMD,3622,3.0,skip
bcsstk04,132,ND,3717,306.8,skip
Kuu,7102,NONE,2993061,0.0,skip
Kuu,7102,RCM,1024794,56.2,skip
Kuu,7102,AMD,406264,544.8,skip
Kuu,7102,COLAMD,830665,3891.0,skip
Kuu,7102,ND,796898,5813.7,skip
