setting,description,fixture,n,reorder_label,nnz_L,reorder_ms,factor
1,Sprint 26 default (HEM, t=96),nos4,100,ND,637,0.4,skip
1,Sprint 26 default (HEM, t=96),bcsstk04,132,ND,3722,188.0,skip
1,Sprint 26 default (HEM, t=96),Kuu,7102,ND,875101,7337.9,skip
1,Sprint 26 default (HEM, t=96),bcsstk14,1806,ND,129576,1326.8,skip
1,Sprint 26 default (HEM, t=96),s3rmt3m3,5357,ND,483907,4137.2,skip
1,Sprint 26 default (HEM, t=96),Pres_Poisson,14822,ND,2549740,13363.2,skip
2,Sprint 27 default (HCC + t=128),nos4,100,ND,637,0.3,skip
2,Sprint 27 default (HCC + t=128),bcsstk04,132,ND,3722,183.5,skip
2,Sprint 27 default (HCC + t=128),Kuu,7102,ND,764664,8341.2,skip
2,Sprint 27 default (HCC + t=128),bcsstk14,1806,ND,130422,700.1,skip
2,Sprint 27 default (HCC + t=128),s3rmt3m3,5357,ND,487832,6713.0,skip
2,Sprint 27 default (HCC + t=128),Pres_Poisson,14822,ND,2462201,10157.0,skip
3,fixed_k×hybrid,nos4,100,ND,637,0.5,skip
3,fixed_k×hybrid,bcsstk04,132,ND,3679,204.5,skip
3,fixed_k×hybrid,Kuu,7102,ND,499127,4583.5,skip
3,fixed_k×hybrid,bcsstk14,1806,ND,282996,610.9,skip
3,fixed_k×hybrid,s3rmt3m3,5357,ND,830461,5997.6,skip
3,fixed_k×hybrid,Pres_Poisson,14822,ND,3742309,11842.9,skip
4,fixed_k×balance,nos4,100,ND,637,0.3,skip
4,fixed_k×balance,bcsstk04,132,ND,4469,178.5,skip
4,fixed_k×balance,Kuu,7102,ND,1035335,4635.4,skip
4,fixed_k×balance,bcsstk14,1806,ND,214778,620.2,skip
4,fixed_k×balance,s3rmt3m3,5357,ND,526194,5541.8,skip
4,fixed_k×balance,Pres_Poisson,14822,ND,3265627,10939.8,skip
5,fixed_k×degree,nos4,100,ND,637,0.4,skip
5,fixed_k×degree,bcsstk04,132,ND,4613,200.2,skip
5,fixed_k×degree,Kuu,7102,ND,2920633,6323.1,skip
5,fixed_k×degree,bcsstk14,1806,ND,277394,451.9,skip
5,fixed_k×degree,s3rmt3m3,5357,ND,1032359,6872.6,skip
5,fixed_k×degree,Pres_Poisson,14822,ND,5573256,12443.5,skip
6,annealing-exponential,nos4,100,ND,637,0.4,skip
6,annealing-exponential,bcsstk04,132,ND,3722,189.8,skip
6,annealing-exponential,Kuu,7102,ND,815158,7478.1,skip
6,annealing-exponential,bcsstk14,1806,ND,129530,730.8,skip
6,annealing-exponential,s3rmt3m3,5357,ND,487832,6875.6,skip
6,annealing-exponential,Pres_Poisson,14822,ND,2538898,10357.0,skip
7,annealing-linear,nos4,100,ND,637,0.5,skip
7,annealing-linear,bcsstk04,132,ND,3722,194.4,skip
7,annealing-linear,Kuu,7102,ND,765132,8405.4,skip
7,annealing-linear,bcsstk14,1806,ND,130111,760.5,skip
7,annealing-linear,s3rmt3m3,5357,ND,487832,6820.4,skip
7,annealing-linear,Pres_Poisson,14822,ND,2515202,12656.3,skip
8,annealing-cosine,nos4,100,ND,637,0.3,skip
