matrix,n,nnz,factor_ll_ms,factor_csc_ms,factor_csc_sn_ms,solve_ll_ms,solve_csc_ms,solve_csc_sn_ms,speedup_csc,speedup_csc_sn,res_ll,res_csc,res_csc_sn
tridiag-20,20,58,0.053,0.078,0.046,0.002,0.001,0.001,0.68,1.15,2.96e-16,2.96e-16,2.96e-16
tridiag-40,40,118,0.077,0.090,0.084,0.003,0.002,0.002,0.86,0.92,2.96e-16,2.96e-16,2.96e-16
tridiag-60,60,178,0.073,0.135,0.133,0.004,0.003,0.003,0.54,0.55,2.96e-16,2.96e-16,2.96e-16
tridiag-80,80,238,0.164,0.288,0.205,0.005,0.005,0.004,0.57,0.80,2.96e-16,2.96e-16,2.96e-16
banded-20,20,160,0.088,0.093,0.098,0.003,0.002,0.002,0.95,0.90,4.08e-16,4.08e-16,4.08e-16
banded-40,40,340,0.136,0.192,0.176,0.006,0.004,0.004,0.71,0.77,4.08e-16,4.08e-16,4.08e-16
banded-60,60,520,0.235,0.310,0.310,0.008,0.006,0.005,0.76,0.76,4.07e-16,4.07e-16,4.07e-16
banded-80,80,700,0.275,0.420,0.430,0.008,0.006,0.007,0.65,0.64,4.07e-16,8.15e-16,8.15e-16
dense-20,20,400,0.248,0.293,0.301,0.005,0.004,0.004,0.85,0.82,4.83e-16,4.83e-16,4.83e-16
dense-60,60,3600,5.253,4.400,4.580,0.032,0.026,0.025,1.19,1.15,6.62e-16,8.82e-16,8.82e-16
